dataset,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,windows,PDT,seasonal,m,fast_mode
weather_melbourne,3.058611340316309,1.1426333660629493,3.382156852591096,1.299767741852474,23.63451471531216,6.950745996652735,6,7,False,1,True
finance_aapl,4.427672911664768,1.1343366022302632,5.114894343769778,1.2344253283564002,1.832786492999834,0.4548643496789743,6,5,False,1,True
co2_maunaloa_monthly,0.7348510055200296,0.7353908600283416,0.8307053633888702,0.7305583887148878,0.1738468527598039,0.1747565268814241,6,6,True,12,True
