Model,Dataset,MAE,MAE_std,RMSE,RMSE_std,sMAPE,sMAPE_std,Windows
ARIMA,Weather Melbourne,2.027493829860646,1.099528109940194,2.4009424478945864,1.2272181112755691,14.83446578022536,6.6846836321371566,6
ARIMA,Finance AAPL,3.510642455861941,1.2835222520685066,4.511171773963485,1.4483675746970184,1.4526969932897658,0.5202096513814016,6
ARIMA,CO2 Mauna Loa,0.4083852052707186,0.1938445831554016,0.4863188845440595,0.1971572881862769,0.0965291383523189,0.0461015608159453,6
LSTM,Weather Melbourne,1.8549133439858756,0.9345870124999284,2.2718728383382163,1.0364722331107827,13.483859536548456,5.475125411198387,6
LSTM,Finance AAPL,8.8528866370519,5.464463668703648,9.566022992134094,5.142873935392757,3.6703829808781534,2.1888839803411155,6
LSTM,CO2 Mauna Loa,21.263621648152668,3.2495820852541923,21.35735893249512,3.2103576486132543,5.147761541108291,0.7657392266371068,6
Zero-shot,Weather Melbourne,1.9055444399515789,0.9181055920834248,2.319733526668108,0.9069832278573784,13.99755236254906,5.469147978955492,6
Zero-shot,Finance AAPL,3.773061625162762,1.633223888028334,4.671531546599837,1.9566487294230024,1.5596043037881469,0.6592018079256491,6
Zero-shot,CO2 Mauna Loa,0.6053015814887112,0.1873348050757248,0.69028002102834,0.1977279404226582,0.1430989073630134,0.0446608714637839,6
Few-shot MoE,Weather Melbourne,1.89849807875497,0.851889151237251,2.3568262336870367,0.9055221625661982,13.9096928841639,4.808178147984603,6
Few-shot MoE,Finance AAPL,3.556689707438153,0.8334813076646277,4.384701878224769,0.9669008461351536,1.4689565356744592,0.3139082972750921,6
Few-shot MoE,CO2 Mauna Loa,0.705012054443363,0.4841451294680935,0.775791393843208,0.5140195754460526,0.166832965011952,0.1150404324233967,6
