timestamp,value
2015-01-02,24.26104164123535
2015-01-05,23.577579498291016
2015-01-06,23.57979393005371
2015-01-07,23.91043472290039
2015-01-08,24.829124450683594
2015-01-09,24.855756759643555
2015-01-12,24.243295669555664
2015-01-13,24.458539962768555
2015-01-14,24.365337371826172
2015-01-15,23.70406150817871
2015-01-16,23.519872665405273
2015-01-20,24.125682830810547
2015-01-21,24.309864044189453
2015-01-22,24.94230079650879
2015-01-23,25.071006774902344
2015-01-26,25.097631454467773
2015-01-27,24.21887969970703
2015-01-28,25.588048934936523
2015-01-29,26.384695053100586
2015-01-30,25.99857521057129
2015-02-02,26.32477378845215
2015-02-03,26.329214096069336
2015-02-04,26.53114891052246
2015-02-05,26.72051239013672
2015-02-06,26.495506286621094
2015-02-09,26.671504974365234
2015-02-10,27.18390464782715
2015-02-11,27.821060180664062
2015-02-12,28.173053741455078
2015-02-13,28.311182022094727
2015-02-17,28.478271484375
2015-02-18,28.676546096801758
2015-02-19,28.61638641357422
2015-02-20,28.850318908691406
2015-02-23,29.630054473876953
2015-02-24,29.445148468017578
2015-02-25,28.69214630126953
2015-02-26,29.055274963378906
2015-02-27,28.61862564086914
2015-03-02,28.758970260620117
2015-03-03,28.81912612915039
2015-03-04,28.636442184448242
2015-03-05,28.161916732788086
2015-03-06,28.204246520996094
2015-03-09,28.32454490661621
2015-03-10,27.738632202148438
2015-03-11,27.23292350769043
2015-03-12,27.72526741027832
2015-03-13,27.533668518066406
2015-03-16,27.836654663085938
2015-03-17,28.30227279663086
2015-03-18,28.620849609375
2015-03-19,28.404756546020508
2015-03-20,28.04829216003418
2015-03-23,28.34014129638672
2015-03-24,28.22429847717285
2015-03-25,27.486888885498047
2015-03-26,27.678476333618164
2015-03-27,27.457923889160156
2015-03-30,28.15300178527832
2015-03-31,27.720809936523438
2015-04-01,27.680706024169922
2015-04-02,27.919084548950195
2015-04-06,28.371335983276367
2015-04-07,28.072813034057617
2015-04-08,27.981462478637695
2015-04-09,28.195341110229492
2015-04-10,28.315643310546875
2015-04-13,28.25994110107422
2015-04-14,28.137414932250977
2015-04-15,28.244348526000977
2015-04-16,28.108449935913086
2015-04-17,27.792097091674805
2015-04-20,28.42702865600586
2015-04-21,28.273305892944336
2015-04-22,28.654266357421875
2015-04-23,28.88819122314453
2015-04-24,29.024089813232422
2015-04-27,29.552082061767578
2015-04-28,29.086463928222656
2015-04-29,28.658727645874023
2015-04-30,27.881214141845703
2015-05-01,28.7277889251709
2015-05-04,28.67208480834961
2015-05-05,28.02601432800293
2015-05-06,27.850025177001953
2015-05-07,28.022279739379883
2015-05-08,28.55024528503418
2015-05-11,28.259422302246094
2015-05-12,28.158750534057617
2015-05-13,28.190065383911133
2015-05-14,28.847782135009766
2015-05-15,28.807512283325195
2015-05-18,29.12518882751465
2015-05-19,29.098350524902344
2015-05-20,29.096107482910156
2015-05-21,29.393646240234375
2015-05-22,29.650903701782227
2015-05-26,28.997671127319336
2015-05-27,29.539052963256836
2015-05-28,29.480886459350586
2015-05-29,29.14532470703125
2015-06-01,29.20348358154297
2015-06-02,29.073734283447266
2015-06-03,29.10951805114746
2015-06-04,28.93950653076172
2015-06-05,28.780664443969727
2015-06-08,28.590511322021484
2015-06-09,28.5054988861084
2015-06-10,28.832120895385742
2015-06-11,28.767244338989258
2015-06-12,28.449573516845703
2015-06-15,28.393651962280273
2015-06-16,28.54576301574707
2015-06-17,28.47865867614746
2015-06-18,28.608407974243164
2015-06-19,28.32206153869629
2015-06-22,28.548011779785156
2015-06-23,28.418254852294922
2015-06-24,28.659866333007812
2015-06-25,28.52339744567871
2015-06-26,28.355609893798828
2015-06-29,27.858976364135742
2015-06-30,28.060314178466797
2015-07-01,28.32206153869629
2015-07-02,28.28626823425293
2015-07-06,28.187833786010742
2015-07-07,28.11847686767578
2015-07-08,27.42049217224121
2015-07-09,26.861221313476562
2015-07-10,27.57932472229004
2015-07-13,28.111770629882812
2015-07-14,28.100582122802734
2015-07-15,28.371274948120117
2015-07-16,28.74934196472168
2015-07-17,28.997671127319336
2015-07-20,29.5457706451416
2015-07-21,29.25046730041504
2015-07-22,28.013336181640625
2015-07-23,27.999914169311523
2015-07-24,27.85226058959961
2015-07-27,27.465240478515625
2015-07-28,27.601699829101562
2015-07-29,27.514448165893555
2015-07-30,27.375747680664062
2015-07-31,27.13637924194336
2015-08-03,26.496566772460938
2015-08-04,25.646453857421875
2015-08-05,25.81646728515625
2015-08-06,25.87265396118164
2015-08-07,25.960298538208008
2015-08-10,26.904146194458008
2015-08-11,25.504104614257812
2015-08-12,25.897367477416992
2015-08-13,25.877147674560547
2015-08-14,26.059179306030273
2015-08-17,26.3288516998291
2015-08-18,26.180524826049805
2015-08-19,25.845684051513672
2015-08-20,25.315336227416992
2015-08-21,23.76697540283203
2015-08-24,23.173696517944336
2015-08-25,23.313026428222656
2015-08-26,24.650150299072266
2015-08-27,25.37601089477539
2015-08-28,25.459156036376953
2015-08-31,25.340063095092773
2015-09-01,24.207443237304688
2015-09-02,25.245670318603516
2015-09-03,24.802961349487305
2015-09-04,24.555761337280273
2015-09-08,25.238929748535156
2015-09-09,24.753520965576172
2015-09-10,25.297353744506836
2015-09-11,25.665910720825195
2015-09-14,25.913105010986328
2015-09-15,26.131088256835938
2015-09-16,26.16029930114746
2015-09-17,25.600732803344727
2015-09-18,25.4951114654541
2015-09-21,25.8906307220459
2015-09-22,25.483875274658203
2015-09-23,25.69062614440918
2015-09-24,25.84343719482422
2015-09-25,25.77826499938965
2015-09-28,25.268138885498047
