Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,windows,pred_len,context_len,epochs,hidden_size,num_layers,freq,dataset
LSTM,1.3047527273495991,0.41951381500812507,1.6600240468978882,0.5016928261256439,9.636524071296057,3.2401296713469754,3,7,120,5,32,1,D,weather_melbourne
LSTM,13.313480695088705,5.0260328433569645,13.863630294799805,4.822749630906518,5.465373769402504,2.0062819371871816,3,5,120,5,32,1,D,finance_aapl
LSTM,27.622143427530926,1.6022155747184637,27.85650698343913,1.630623816018929,6.6999418040116625,0.37408728904196525,3,6,120,5,32,1,M,co2_maunaloa_monthly
LSTM,2.6073825980226197,1.5757039818498872,3.004474518199762,1.5889104871440636,29.88230815778176,20.97583785890198,24,96,336,5,32,1,H,etth1
