dataset,freq,prediction_length,context_length,n_shots,MAE_mean,MAE_std,sMAPE_mean,sMAPE_std,calibration_info
weather_melbourne,D,7,120,6,2.079864621324604,0.6625388332518501,14.919356039168411,4.291015776676935,"{'method': 'few_shot_bias_calibration', 'n_shots_for_calibration': 6, 'bias_correction': 1.3866863772982643, 'description': 'Model predictions calibrated using bias computed from few-shot examples'}"
finance_aapl,D,5,120,6,4.157365519205732,1.9925893668902268,1.730846879055462,0.8480818403738027,"{'method': 'few_shot_bias_calibration', 'n_shots_for_calibration': 6, 'bias_correction': 4.787802886962895, 'description': 'Model predictions calibrated using bias computed from few-shot examples'}"
co2_maunaloa_monthly,M,6,120,6,0.6622478193118154,0.44438751179308594,0.15669328675415592,0.10566979970494164,"{'method': 'few_shot_bias_calibration', 'n_shots_for_calibration': 6, 'bias_correction': 0.09657253689236395, 'description': 'Model predictions calibrated using bias computed from few-shot examples'}"
