Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,windows,PDT,lookback,epochs,hidden_size,num_layers,freq,dataset
LSTM,2.2118961865251716,0.7405356617533245,2.7267047708684746,0.8764933735339989,20.917978713458236,6.342652006950723,22,24,180,10,64,2,D,weather_melbourne
LSTM,19.00445135901956,9.987424843718083,20.606106197132785,10.246738832383746,8.950418058563681,4.2493552758481075,17,24,250,10,64,2,B,finance_aapl
LSTM,39.23159809112549,5.866214198281751,39.67175159454346,5.867408564651818,9.921416118741035,1.3774773073839288,10,12,120,10,64,2,M,co2_maunaloa_monthly
